Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0402_1005Metric",9.000000,-13.600000,90.000000,top
"C2","100nF","C_0402_1005Metric",46.000000,-14.600000,90.000000,top
"C3","100nF","C_0402_1005Metric",9.000000,-51.900000,90.000000,top
"C4","100nF","C_0402_1005Metric",46.000000,-52.900000,90.000000,top
"C5","100nF","C_0402_1005Metric",9.000000,-90.200000,90.000000,top
"C6","100nF","C_0402_1005Metric",46.000000,-94.500000,90.000000,top
"C7","10uF","C_0805_2012Metric",19.000000,-6.500000,90.000000,top
"C8","10uF","C_0805_2012Metric",6.500000,-9.800000,90.000000,top
"C9","100nF","C_0402_1005Metric",23.500000,-51.500000,0.000000,top
"C10","100nF","C_0402_1005Metric",33.000000,-51.500000,0.000000,top
"C11","1uF","C_0402_1005Metric",30.000000,-51.500000,0.000000,top
"J1","ScreenKey 1","Molex_PicoBlade_53261-0971_1x09-1MP_P1.25mm_Horizontal",13.000000,-17.600000,90.000000,top
"J2","ScreenKey 2","Molex_PicoBlade_53261-0971_1x09-1MP_P1.25mm_Horizontal",41.900000,-17.600000,-90.000000,top
"J3","ScreenKey 3","Molex_PicoBlade_53261-0971_1x09-1MP_P1.25mm_Horizontal",13.000000,-55.900000,90.000000,top
"J4","ScreenKey 4","Molex_PicoBlade_53261-0971_1x09-1MP_P1.25mm_Horizontal",41.900000,-55.900000,-90.000000,top
"J5","ScreenKey 5","Molex_PicoBlade_53261-0971_1x09-1MP_P1.25mm_Horizontal",13.000000,-94.200000,90.000000,top
"J6","ScreenKey 6","Molex_PicoBlade_53261-0971_1x09-1MP_P1.25mm_Horizontal",41.900000,-94.200000,-90.000000,top
"J7","USB4105-GF-A","USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal",27.500000,-3.100000,180.000000,top
"J8","microSD","microSD_HC_Hirose_DM3D-SF",47.500000,-75.000000,-90.000000,top
"R1","10k","R_0402_1005Metric",9.000000,-21.600000,-90.000000,top
"R2","10k","R_0402_1005Metric",46.000000,-10.600000,-90.000000,top
"R3","10k","R_0402_1005Metric",9.000000,-59.900000,-90.000000,top
"R4","10k","R_0402_1005Metric",46.000000,-48.900000,-90.000000,top
"R5","10k","R_0402_1005Metric",9.000000,-98.200000,-90.000000,top
"R6","10k","R_0402_1005Metric",46.000000,-87.200000,-90.000000,top
"R7","5.1k","R_0402_1005Metric",20.500000,-9.500000,90.000000,top
"R8","5.1k","R_0402_1005Metric",34.500000,-9.500000,90.000000,top
"R9","10k","R_0402_1005Metric",27.000000,-51.500000,0.000000,top
"SW1","BOOT","SW_Push_1P1T_NO_CK_KMR2",37.500000,-4.000000,0.000000,top
"SW2","RESET","SW_Push_1P1T_NO_CK_KMR2",43.500000,-4.000000,0.000000,top
"U1","ESP32-S3-WROOM-1-N16R8","ESP32-S3-WROOM-1",27.500000,-36.700000,90.000000,top
"U2","AMS1117-3.3","SOT-223-3_TabPin2",13.000000,-4.500000,180.000000,top
"U3","USBLC6-2SC6","SOT-23-6",27.500000,-12.500000,-90.000000,top
